"","name","m2","droppings"
"1","Klim_holme_SKR (1).JPG",4.81333333333333,0
"2","Klim_holme_SKR (10).JPG",4.32,0
"3","Klim_holme_SKR (100).JPG",5.33333333333333,1
"4","Klim_holme_SKR (103).JPG",5.33333333333333,1
"5","Klim_holme_SKR (105).JPG",5.33333333333333,2
"6","Klim_holme_SKR (107).JPG",5.33333333333333,1
"7","Klim_holme_SKR (109).JPG",5.88,2
"8","Klim_holme_SKR (111).JPG",4.81333333333333,1
"9","Klim_holme_SKR (113).JPG",5.33333333333333,2
"10","Klim_holme_SKR (115).JPG",4.81333333333333,1
"11","Klim_holme_SKR (117).JPG",4.81333333333333,2
"12","Klim_holme_SKR (118).JPG",4.81333333333333,3
"13","Klim_holme_SKR (12).JPG",4.81333333333333,0
"14","Klim_holme_SKR (121).JPG",5.33333333333333,5
"15","Klim_holme_SKR (123).JPG",4.81333333333333,2
"16","Klim_holme_SKR (125).JPG",4.81333333333333,8
"17","Klim_holme_SKR (127).JPG",4.81333333333333,12
"18","Klim_holme_SKR (129).JPG",4.32,3
"19","Klim_holme_SKR (130).JPG",4.81333333333333,0
"20","Klim_holme_SKR (132).JPG",4.81333333333333,5
"21","Klim_holme_SKR (134).JPG",4.81333333333333,12
"22","Klim_holme_SKR (136).JPG",4.81333333333333,21
"23","Klim_holme_SKR (138).JPG",4.81333333333333,15
"24","Klim_holme_SKR (139).JPG",3.85333333333333,10
"25","Klim_holme_SKR (14).JPG",4.32,2
"26","Klim_holme_SKR (141).JPG",4.32,1
"27","Klim_holme_SKR (143).JPG",4.32,9
"28","Klim_holme_SKR (144).JPG",4.32,12
"29","Klim_holme_SKR (146).JPG",1.92,0
"30","Klim_holme_SKR (147).JPG",2.61333333333333,1
"31","Klim_holme_SKR (149).JPG",1.92,0
"32","Klim_holme_SKR (15).JPG",5.33333333333333,0
"33","Klim_holme_SKR (150).JPG",1.92,0
"34","Klim_holme_SKR (152).JPG",1.92,1
"35","Klim_holme_SKR (154).JPG",1.92,3
"36","Klim_holme_SKR (157).JPG",2.25333333333333,3
"37","Klim_holme_SKR (159).JPG",1.92,1
"38","Klim_holme_SKR (16).JPG",4.32,0
"39","Klim_holme_SKR (160).JPG",2.25333333333333,2
"40","Klim_holme_SKR (163).JPG",2.25333333333333,3
"41","Klim_holme_SKR (165).JPG",1.92,3
"42","Klim_holme_SKR (166).JPG",1.92,2
"43","Klim_holme_SKR (168).JPG",2.25333333333333,3
"44","Klim_holme_SKR (170).JPG",2.61333333333333,4
"45","Klim_holme_SKR (171).JPG",2.25333333333333,0
"46","Klim_holme_SKR (172).JPG",1.92,0
"47","Klim_holme_SKR (175).JPG",5.33333333333333,1
"48","Klim_holme_SKR (177).JPG",5.33333333333333,5
"49","Klim_holme_SKR (178).JPG",5.88,0
"50","Klim_holme_SKR (18).JPG",3.85333333333333,3
"51","Klim_holme_SKR (181).JPG",5.33333333333333,0
"52","Klim_holme_SKR (183).JPG",5.33333333333333,0
"53","Klim_holme_SKR (185).JPG",4.81333333333333,0
"54","Klim_holme_SKR (188).JPG",5.88,0
"55","Klim_holme_SKR (189).JPG",5.88,0
"56","Klim_holme_SKR (19).JPG",3.85333333333333,4
"57","Klim_holme_SKR (191).JPG",5.33333333333333,0
"58","Klim_holme_SKR (192).JPG",5.33333333333333,0
"59","Klim_holme_SKR (194).JPG",5.33333333333333,0
"60","Klim_holme_SKR (196).JPG",5.88,0
"61","Klim_holme_SKR (199).JPG",5.33333333333333,0
"62","Klim_holme_SKR (20).JPG",4.32,5
"63","Klim_holme_SKR (201).JPG",5.33333333333333,0
"64","Klim_holme_SKR (204).JPG",5.33333333333333,0
"65","Klim_holme_SKR (206).JPG",5.33333333333333,4
"66","Klim_holme_SKR (21).JPG",4.81333333333333,3
"67","Klim_holme_SKR (215).JPG",5.33333333333333,5
"68","Klim_holme_SKR (216).JPG",5.33333333333333,6
"69","Klim_holme_SKR (217).JPG",5.33333333333333,4
"70","Klim_holme_SKR (219).JPG",5.33333333333333,5
"71","Klim_holme_SKR (220).JPG",5.33333333333333,6
"72","Klim_holme_SKR (222).JPG",5.33333333333333,4
"73","Klim_holme_SKR (224).JPG",5.33333333333333,3
"74","Klim_holme_SKR (225).JPG",5.33333333333333,0
"75","Klim_holme_SKR (227).JPG",5.33333333333333,1
"76","Klim_holme_SKR (228).JPG",5.33333333333333,8
"77","Klim_holme_SKR (23).JPG",3.85333333333333,4
"78","Klim_holme_SKR (230).JPG",5.88,0
"79","Klim_holme_SKR (232).JPG",5.33333333333333,2
"80","Klim_holme_SKR (234).JPG",5.88,2
"81","Klim_holme_SKR (236).JPG",5.88,4
"82","Klim_holme_SKR (238).JPG",5.33333333333333,5
"83","Klim_holme_SKR (24).JPG",4.32,0
"84","Klim_holme_SKR (241).JPG",5.33333333333333,4
"85","Klim_holme_SKR (243).JPG",5.88,2
"86","Klim_holme_SKR (244).JPG",5.88,0
"87","Klim_holme_SKR (246).JPG",5.33333333333333,6
"88","Klim_holme_SKR (248).JPG",5.33333333333333,3
"89","Klim_holme_SKR (250).JPG",5.33333333333333,0
"90","Klim_holme_SKR (251).JPG",5.33333333333333,3
"91","Klim_holme_SKR (253).JPG",5.33333333333333,2
"92","Klim_holme_SKR (254).JPG",5.88,0
"93","Klim_holme_SKR (256).JPG",5.88,0
"94","Klim_holme_SKR (258).JPG",5.88,0
"95","Klim_holme_SKR (26).JPG",4.81333333333333,1
"96","Klim_holme_SKR (260).JPG",5.88,0
"97","Klim_holme_SKR (262).JPG",6.45333333333334,2
"98","Klim_holme_SKR (264).JPG",5.88,2
"99","Klim_holme_SKR (266).JPG",5.88,0
"100","Klim_holme_SKR (268).JPG",4.81333333333333,0
"101","Klim_holme_SKR (270).JPG",5.88,2
"102","Klim_holme_SKR (272).JPG",5.88,0
"103","Klim_holme_SKR (274).JPG",5.33333333333333,0
"104","Klim_holme_SKR (276).JPG",5.88,0
"105","Klim_holme_SKR (279).JPG",6.45333333333334,1
"106","Klim_holme_SKR (28).JPG",4.81333333333333,2
"107","Klim_holme_SKR (281).JPG",7.05333333333333,0
"108","Klim_holme_SKR (283).JPG",6.45333333333334,0
"109","Klim_holme_SKR (285).JPG",7.05333333333333,2
